source_pr,source_commit,source_parent,affected_files,original_intent,actual_module,evaluation_relevant,existing_changeset,new_changeset,classification,already_in_main,patch_equivalent,superseded_by,risk,confidence,evidence
734,082464aae4a8eea85350291a0a93f946d712a3cb,9d958453bc8afbc7b80ce7aff5f82598f1f2e970,backend/package.json;backend/prisma/migrations/20260724070000_provider_grant_webhook_idempotency/migration.sql;backend/prisma/schema.prisma;backend/src/modules/data-authorizations/data-authorizations.module.ts;backend/src/modules/data-authorizations/enforcement-coverage-registry/enforcement-coverage-catalog.ts;backend/src/modules/data-authorizations/policy-resolver/policy-resolver.constants.ts;backend/src/modules/data-authorizations/policy-resolver/policy-resolver.engine.spec.ts;backend/src/modules/data-authorizations/policy-resolver/policy-resolver.engine.ts;backend/src/modules/data-authorizations/privacy-domain/provider-access-grant/provider-access-grant.service.ts;backend/src/modules/data-authorizations/provider-grant-consolidation/provider-grant-consolidation.constants.ts;backend/src/modules/data-authorizations/provider-grant-consolidation/provider-grant-consolidation.evaluator.ts;backend/src/modules/data-authorizations/provider-grant-consolidation/provider-grant-consolidation.integration.spec.ts;backend/src/modules/data-authorizations/provider-grant-consolidation/provider-grant-consolidation.service.ts;backend/src/modules/data-authorizations/provider-grant-consolidation/provider-grant-consolidation.types.ts;backend/src/modules/data-authorizations/provider-grant-consolidation/provider-grant-provisioning.service.ts;backend/src/modules/data-authorizations/provider-grant-consolidation/provider-grant-verification.service.ts;backend/src/modules/data-authorizations/revocation-orchestrator/revocation-orchestrator.steps.ts;backend/src/modules/high-mobility/high-mobility-webhook.service.ts;backend/src/modules/vehicles/vehicles.service.ts;docs/architecture/provider-grant-consolidation-2026-07.md;frontend/src/master/components/ArchitekturView.tsx;frontend/src/master/components/ChangesView.tsx,Provider grant consolidation,roles-access,false,cs-roles-access-tenant-and-access-controls,,INHERITED_NO_EVALUATIONS_RELEVANCE,false,false,,CRITICAL,HIGH,feat(data-auth): consolidate ProviderAccessGrant with internal policies (Prompt 26); first-parent path review (22 files); Data Authorization capability inherited through branch ancestry.; git cherry=n/a
749,082464aae4a8eea85350291a0a93f946d712a3cb,9d958453bc8afbc7b80ce7aff5f82598f1f2e970,backend/package.json;backend/prisma/migrations/20260724070000_provider_grant_webhook_idempotency/migration.sql;backend/prisma/schema.prisma;backend/src/modules/data-authorizations/data-authorizations.module.ts;backend/src/modules/data-authorizations/enforcement-coverage-registry/enforcement-coverage-catalog.ts;backend/src/modules/data-authorizations/policy-resolver/policy-resolver.constants.ts;backend/src/modules/data-authorizations/policy-resolver/policy-resolver.engine.spec.ts;backend/src/modules/data-authorizations/policy-resolver/policy-resolver.engine.ts;backend/src/modules/data-authorizations/privacy-domain/provider-access-grant/provider-access-grant.service.ts;backend/src/modules/data-authorizations/provider-grant-consolidation/provider-grant-consolidation.constants.ts;backend/src/modules/data-authorizations/provider-grant-consolidation/provider-grant-consolidation.evaluator.ts;backend/src/modules/data-authorizations/provider-grant-consolidation/provider-grant-consolidation.integration.spec.ts;backend/src/modules/data-authorizations/provider-grant-consolidation/provider-grant-consolidation.service.ts;backend/src/modules/data-authorizations/provider-grant-consolidation/provider-grant-consolidation.types.ts;backend/src/modules/data-authorizations/provider-grant-consolidation/provider-grant-provisioning.service.ts;backend/src/modules/data-authorizations/provider-grant-consolidation/provider-grant-verification.service.ts;backend/src/modules/data-authorizations/revocation-orchestrator/revocation-orchestrator.steps.ts;backend/src/modules/high-mobility/high-mobility-webhook.service.ts;backend/src/modules/vehicles/vehicles.service.ts;docs/architecture/provider-grant-consolidation-2026-07.md;frontend/src/master/components/ArchitekturView.tsx;frontend/src/master/components/ChangesView.tsx,Provider grant consolidation,roles-access,false,cs-roles-access-tenant-and-access-controls,,INHERITED_NO_EVALUATIONS_RELEVANCE,false,false,,CRITICAL,HIGH,feat(data-auth): consolidate ProviderAccessGrant with internal policies (Prompt 26); first-parent path review (22 files); Data Authorization capability inherited through branch ancestry.; git cherry=n/a
753,082464aae4a8eea85350291a0a93f946d712a3cb,9d958453bc8afbc7b80ce7aff5f82598f1f2e970,backend/package.json;backend/prisma/migrations/20260724070000_provider_grant_webhook_idempotency/migration.sql;backend/prisma/schema.prisma;backend/src/modules/data-authorizations/data-authorizations.module.ts;backend/src/modules/data-authorizations/enforcement-coverage-registry/enforcement-coverage-catalog.ts;backend/src/modules/data-authorizations/policy-resolver/policy-resolver.constants.ts;backend/src/modules/data-authorizations/policy-resolver/policy-resolver.engine.spec.ts;backend/src/modules/data-authorizations/policy-resolver/policy-resolver.engine.ts;backend/src/modules/data-authorizations/privacy-domain/provider-access-grant/provider-access-grant.service.ts;backend/src/modules/data-authorizations/provider-grant-consolidation/provider-grant-consolidation.constants.ts;backend/src/modules/data-authorizations/provider-grant-consolidation/provider-grant-consolidation.evaluator.ts;backend/src/modules/data-authorizations/provider-grant-consolidation/provider-grant-consolidation.integration.spec.ts;backend/src/modules/data-authorizations/provider-grant-consolidation/provider-grant-consolidation.service.ts;backend/src/modules/data-authorizations/provider-grant-consolidation/provider-grant-consolidation.types.ts;backend/src/modules/data-authorizations/provider-grant-consolidation/provider-grant-provisioning.service.ts;backend/src/modules/data-authorizations/provider-grant-consolidation/provider-grant-verification.service.ts;backend/src/modules/data-authorizations/revocation-orchestrator/revocation-orchestrator.steps.ts;backend/src/modules/high-mobility/high-mobility-webhook.service.ts;backend/src/modules/vehicles/vehicles.service.ts;docs/architecture/provider-grant-consolidation-2026-07.md;frontend/src/master/components/ArchitekturView.tsx;frontend/src/master/components/ChangesView.tsx,Provider grant consolidation,roles-access,false,cs-roles-access-tenant-and-access-controls,,INHERITED_NO_EVALUATIONS_RELEVANCE,false,false,,CRITICAL,HIGH,feat(data-auth): consolidate ProviderAccessGrant with internal policies (Prompt 26); first-parent path review (22 files); Data Authorization capability inherited through branch ancestry.; git cherry=n/a
866,14eb5aa433fe2b0c231476a251c478e596ba6c2b,e3fe1513e6931e58f30b41138bba37ea694146a1,backend/src/modules/workflows/conditions/index.ts;backend/src/modules/workflows/conditions/workflow-condition-engine.spec.ts;backend/src/modules/workflows/conditions/workflow-condition-engine.ts;backend/src/modules/workflows/conditions/workflow-condition-field-registry.ts;backend/src/modules/workflows/conditions/workflow-condition-normalizer.ts;backend/src/modules/workflows/conditions/workflow-condition-operators.ts;backend/src/modules/workflows/conditions/workflow-condition-path-resolver.ts;backend/src/modules/workflows/conditions/workflow-condition.types.ts;backend/src/modules/workflows/runtime/workflow-run-orchestrator.repository.ts;backend/src/modules/workflows/runtime/workflow-run-orchestrator.service.ts;backend/src/modules/workflows/workflow-condition.evaluator.ts;backend/src/modules/workflows/workflow-engine.service.ts;backend/src/modules/workflows/workflows.service.spec.ts;docs/architecture/workflow-condition-engine-2026-07.md;frontend/src/master/components/ArchitekturView.tsx;frontend/src/master/components/ChangesView.tsx,Typed workflow condition engine,workflow-automation,false,cs-workflow-automation-api-and-domain-contracts,,INHERITED_NO_EVALUATIONS_RELEVANCE,false,false,,HIGH,HIGH,feat(workflows): strictly typed condition engine (Phase 6 Prompt 25); first-parent path review (16 files); Workflow condition domain; no evaluations-owned path.; git cherry=n/a
870,14eb5aa433fe2b0c231476a251c478e596ba6c2b,e3fe1513e6931e58f30b41138bba37ea694146a1,backend/src/modules/workflows/conditions/index.ts;backend/src/modules/workflows/conditions/workflow-condition-engine.spec.ts;backend/src/modules/workflows/conditions/workflow-condition-engine.ts;backend/src/modules/workflows/conditions/workflow-condition-field-registry.ts;backend/src/modules/workflows/conditions/workflow-condition-normalizer.ts;backend/src/modules/workflows/conditions/workflow-condition-operators.ts;backend/src/modules/workflows/conditions/workflow-condition-path-resolver.ts;backend/src/modules/workflows/conditions/workflow-condition.types.ts;backend/src/modules/workflows/runtime/workflow-run-orchestrator.repository.ts;backend/src/modules/workflows/runtime/workflow-run-orchestrator.service.ts;backend/src/modules/workflows/workflow-condition.evaluator.ts;backend/src/modules/workflows/workflow-engine.service.ts;backend/src/modules/workflows/workflows.service.spec.ts;docs/architecture/workflow-condition-engine-2026-07.md;frontend/src/master/components/ArchitekturView.tsx;frontend/src/master/components/ChangesView.tsx,Typed workflow condition engine,workflow-automation,false,cs-workflow-automation-api-and-domain-contracts,,INHERITED_NO_EVALUATIONS_RELEVANCE,false,false,,HIGH,HIGH,feat(workflows): strictly typed condition engine (Phase 6 Prompt 25); first-parent path review (16 files); Workflow condition domain; no evaluations-owned path.; git cherry=n/a
314,198c8e22e090ce337fdcb72545070d917082f2e4,76a6d686b1f508f134f0f29f3d79694c76313c45,backend/src/modules/vehicle-intelligence/trips/trip-analytics-canonical.service.ts;backend/src/modules/vehicle-intelligence/trips/trip-assessment-reason-category.spec.ts;backend/src/modules/vehicle-intelligence/trips/trip-assessment-reason-category.ts;backend/src/modules/vehicle-intelligence/trips/trip-assessment.builder.ts;backend/src/modules/vehicle-intelligence/trips/trip-assessment.service.spec.ts;backend/src/modules/vehicle-intelligence/trips/trip-assessment.service.ts;backend/src/modules/vehicle-intelligence/trips/trip-assessment.types.ts;frontend/src/lib/api.ts;frontend/src/master/components/ArchitekturView.tsx;frontend/src/master/components/ChangesView.tsx;frontend/src/rental/components/trips/behavior-ui.utils.ts;frontend/src/rental/components/trips/trip-assessment-reason-copy.test.ts;frontend/src/rental/components/trips/trip-assessment-reason-copy.ts;frontend/src/rental/components/trips/trip-assessment-ui-semantics.test.ts,Driving-assessment reason categories,trips,false,cs-trips-vehicle-intelligence,,INHERITED_NO_EVALUATIONS_RELEVANCE,false,false,,HIGH,HIGH,feat(driving-intelligence): add PRUEFHINWEIS reason categories (P6); first-parent path review (14 files); Driving Intelligence/trip assessment capability.; git cherry=n/a
315,198c8e22e090ce337fdcb72545070d917082f2e4,76a6d686b1f508f134f0f29f3d79694c76313c45,backend/src/modules/vehicle-intelligence/trips/trip-analytics-canonical.service.ts;backend/src/modules/vehicle-intelligence/trips/trip-assessment-reason-category.spec.ts;backend/src/modules/vehicle-intelligence/trips/trip-assessment-reason-category.ts;backend/src/modules/vehicle-intelligence/trips/trip-assessment.builder.ts;backend/src/modules/vehicle-intelligence/trips/trip-assessment.service.spec.ts;backend/src/modules/vehicle-intelligence/trips/trip-assessment.service.ts;backend/src/modules/vehicle-intelligence/trips/trip-assessment.types.ts;frontend/src/lib/api.ts;frontend/src/master/components/ArchitekturView.tsx;frontend/src/master/components/ChangesView.tsx;frontend/src/rental/components/trips/behavior-ui.utils.ts;frontend/src/rental/components/trips/trip-assessment-reason-copy.test.ts;frontend/src/rental/components/trips/trip-assessment-reason-copy.ts;frontend/src/rental/components/trips/trip-assessment-ui-semantics.test.ts,Driving-assessment reason categories,trips,false,cs-trips-vehicle-intelligence,,INHERITED_NO_EVALUATIONS_RELEVANCE,false,false,,HIGH,HIGH,feat(driving-intelligence): add PRUEFHINWEIS reason categories (P6); first-parent path review (14 files); Driving Intelligence/trip assessment capability.; git cherry=n/a
316,198c8e22e090ce337fdcb72545070d917082f2e4,76a6d686b1f508f134f0f29f3d79694c76313c45,backend/src/modules/vehicle-intelligence/trips/trip-analytics-canonical.service.ts;backend/src/modules/vehicle-intelligence/trips/trip-assessment-reason-category.spec.ts;backend/src/modules/vehicle-intelligence/trips/trip-assessment-reason-category.ts;backend/src/modules/vehicle-intelligence/trips/trip-assessment.builder.ts;backend/src/modules/vehicle-intelligence/trips/trip-assessment.service.spec.ts;backend/src/modules/vehicle-intelligence/trips/trip-assessment.service.ts;backend/src/modules/vehicle-intelligence/trips/trip-assessment.types.ts;frontend/src/lib/api.ts;frontend/src/master/components/ArchitekturView.tsx;frontend/src/master/components/ChangesView.tsx;frontend/src/rental/components/trips/behavior-ui.utils.ts;frontend/src/rental/components/trips/trip-assessment-reason-copy.test.ts;frontend/src/rental/components/trips/trip-assessment-reason-copy.ts;frontend/src/rental/components/trips/trip-assessment-ui-semantics.test.ts,Driving-assessment reason categories,trips,false,cs-trips-vehicle-intelligence,,INHERITED_NO_EVALUATIONS_RELEVANCE,false,false,,HIGH,HIGH,feat(driving-intelligence): add PRUEFHINWEIS reason categories (P6); first-parent path review (14 files); Driving Intelligence/trip assessment capability.; git cherry=n/a
317,198c8e22e090ce337fdcb72545070d917082f2e4,76a6d686b1f508f134f0f29f3d79694c76313c45,backend/src/modules/vehicle-intelligence/trips/trip-analytics-canonical.service.ts;backend/src/modules/vehicle-intelligence/trips/trip-assessment-reason-category.spec.ts;backend/src/modules/vehicle-intelligence/trips/trip-assessment-reason-category.ts;backend/src/modules/vehicle-intelligence/trips/trip-assessment.builder.ts;backend/src/modules/vehicle-intelligence/trips/trip-assessment.service.spec.ts;backend/src/modules/vehicle-intelligence/trips/trip-assessment.service.ts;backend/src/modules/vehicle-intelligence/trips/trip-assessment.types.ts;frontend/src/lib/api.ts;frontend/src/master/components/ArchitekturView.tsx;frontend/src/master/components/ChangesView.tsx;frontend/src/rental/components/trips/behavior-ui.utils.ts;frontend/src/rental/components/trips/trip-assessment-reason-copy.test.ts;frontend/src/rental/components/trips/trip-assessment-reason-copy.ts;frontend/src/rental/components/trips/trip-assessment-ui-semantics.test.ts,Driving-assessment reason categories,trips,false,cs-trips-vehicle-intelligence,,INHERITED_NO_EVALUATIONS_RELEVANCE,false,false,,HIGH,HIGH,feat(driving-intelligence): add PRUEFHINWEIS reason categories (P6); first-parent path review (14 files); Driving Intelligence/trip assessment capability.; git cherry=n/a
318,198c8e22e090ce337fdcb72545070d917082f2e4,76a6d686b1f508f134f0f29f3d79694c76313c45,backend/src/modules/vehicle-intelligence/trips/trip-analytics-canonical.service.ts;backend/src/modules/vehicle-intelligence/trips/trip-assessment-reason-category.spec.ts;backend/src/modules/vehicle-intelligence/trips/trip-assessment-reason-category.ts;backend/src/modules/vehicle-intelligence/trips/trip-assessment.builder.ts;backend/src/modules/vehicle-intelligence/trips/trip-assessment.service.spec.ts;backend/src/modules/vehicle-intelligence/trips/trip-assessment.service.ts;backend/src/modules/vehicle-intelligence/trips/trip-assessment.types.ts;frontend/src/lib/api.ts;frontend/src/master/components/ArchitekturView.tsx;frontend/src/master/components/ChangesView.tsx;frontend/src/rental/components/trips/behavior-ui.utils.ts;frontend/src/rental/components/trips/trip-assessment-reason-copy.test.ts;frontend/src/rental/components/trips/trip-assessment-reason-copy.ts;frontend/src/rental/components/trips/trip-assessment-ui-semantics.test.ts,Driving-assessment reason categories,trips,false,cs-trips-vehicle-intelligence,,INHERITED_NO_EVALUATIONS_RELEVANCE,false,false,,HIGH,HIGH,feat(driving-intelligence): add PRUEFHINWEIS reason categories (P6); first-parent path review (14 files); Driving Intelligence/trip assessment capability.; git cherry=n/a
